repo_name_with_owner,total_pr,total_pr_reviews,index
jwasham/coding-interview-university,939,28,1
kamranahmedse/developer-roadmap,2701,7,2
996icu/996.ICU,1970,22,3
codecrafters-io/build-your-own-x,242,14,4
donnemartin/system-design-primer,301,73,5
trekhleb/javascript-algorithms,510,34,6
TheAlgorithms/Python,9169,36,7
torvalds/linux,470,3,8
twbs/bootstrap,14989,3,9
practical-tutorials/project-based-learning,328,21,10
Significant-Gravitas/AutoGPT,3601,258,11
jackfrued/Python-100-Days,148,3,12
Snailclimb/JavaGuide,1284,1,13
airbnb/javascript,1483,1,14
AUTOMATIC1111/stable-diffusion-webui,2858,10,15
trimstray/the-book-of-secret-knowledge,204,21,16
huggingface/transformers,15054,38,17
labuladong/fucking-algorithm,453,12,18
vercel/next.js,20673,102,19
golang/go,3396,3,20
Chalarangelo/30-seconds-of-code,1604,75,21
yangshun/tech-interview-handbook,526,14,22
microsoft/PowerToys,5099,111,23
f/awesome-chatgpt-prompts,282,16,24
facebook/create-react-app,3788,2,25
Genymobile/scrcpy,381,129,26
goldbergyoni/nodebestpractices,918,50,27
microsoft/terminal,4067,306,28
denoland/deno,12366,154,29
ryanmcdermott/clean-code-javascript,248,35,30
GrowingGit/GitHub-Chinese-Top-Charts,15,1,31
puppeteer/puppeteer,5464,200,32
PanJiaChen/vue-element-admin,475,1,33
521xueweihan/HelloGitHub,40,3,34
papers-we-love/papers-we-love,509,1,35
langchain-ai/langchain,10982,69,36
microsoft/Web-Dev-For-Beginners,780,55,37
fatedier/frp,837,8,38
gothinkster/realworld,794,20,39
tailwindlabs/tailwindcss,2587,49,40
iptv-org/iptv,6832,1,41
pytorch/pytorch,81378,260,42
tauri-apps/tauri,4226,54,43
Hack-with-Github/Awesome-Hacking,96,80,44
mtdvio/every-programmer-should-know,142,20,45
tensorflow/models,3629,1,46
sveltejs/svelte,4588,19,47
opencv/opencv,14667,1,48
tonsky/FiraCode,182,10,49
florinpop17/app-ideas,324,90,50
krahets/hello-algo,905,318,51
doocs/advanced-java,118,16,52
excalidraw/excalidraw,4136,114,53
typicode/json-server,300,1,54
tiangolo/fastapi,2896,21,55
massgravel/Microsoft-Activation-Scripts,22,2,56
oven-sh/bun,3261,85,57
yt-dlp/yt-dlp,2480,289,58
thedaviddias/Front-End-Checklist,299,21,59
base-org/node,115,62,60
ChatGPTNextWeb/ChatGPT-Next-Web,1633,16,61
microsoft/ML-For-Beginners,469,91,62
DopplerHQ/awesome-interview-questions,209,1,63
apple/swift,53587,1,64
supabase/supabase,9656,16,65
CompVis/stable-diffusion,74,18,66
coder/code-server,1819,217,67
Developer-Y/cs-video-courses,184,3,68
redis/redis,6018,1,69
vitejs/vite,5494,39,70
anuraghazra/github-readme-stats,2017,126,71
nestjs/nest,7808,62,72
